"Graph";"Vertices";"Edges";"Edge Density";"Iterations";"First Tie Breaker";"Second Tie Breaker";"MIM"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"First";"Min Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Max Degree";"First";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Max Degree";"Max Neighbours Degree";"8"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Max Degree";"Min Neighbours Degree";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Max Degree";"Max Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Max Degree";"Min Edges between Neighbours";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Min Degree";"First";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Min Degree";"Max Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Min Degree";"Min Neighbours Degree";"4"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Min Degree";"Max Edges between Neighbours";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"Min Degree";"Min Edges between Neighbours";"4"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"First";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"First";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"First";"Min Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"First";"Max Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"First";"Min Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Max Degree";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Max Degree";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Max Degree";"Min Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Max Degree";"Max Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Max Degree";"Min Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Min Degree";"First";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Min Degree";"Max Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Min Degree";"Min Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Min Degree";"Max Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"10";"Min Degree";"Min Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"First";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"First";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"First";"Min Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"First";"Max Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"First";"Min Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Max Degree";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Max Degree";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Max Degree";"Min Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Max Degree";"Max Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Max Degree";"Min Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Min Degree";"First";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Min Degree";"Max Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Min Degree";"Min Neighbours Degree";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Min Degree";"Max Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"50";"Min Degree";"Min Edges between Neighbours";"2"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"First";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"First";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"First";"Min Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"First";"Max Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"First";"Min Edges between Neighbours";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"Max Degree";"First";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"Max Degree";"Max Neighbours Degree";"3"
"celar06-wpp.dgf";"34";"156";"0.27807486631016043";"100";"Max Degree";"Min Neighbours Degree";"2"
